benchmark,category,cs,status,cputime (s),walltime (s),memUsage,status-2,cputime (s)-2,walltime (s)-2,memUsage-2,speedup-2,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4,status-6,cputime (s)-6,walltime (s)-6,memUsage-6,speedup-6,status-8,cputime (s)-8,walltime (s)-8,memUsage-8,speedup-8
brltty-6.0/brltty-cldr.bc,OSS,0,OK,3.257256647,3.284275397,45314048,OK,3.902223838,2.86317392,47177728,1.14707506,OK,4.01085281,2.801715216,49438720,1.172237413,OK,4.108512873,2.859327256,53874688,1.148618225,OK,4.030619304,2.806462359,54956032,1.170254569
brltty-6.0/brltty-ctb.bc,OSS,0,OK,12.68228891,12.92705209,62758912,OK,15.35521006,10.49276126,64913408,1.231997161,OK,16.27381679,10.13809084,68313088,1.275097283,OK,16.66094449,10.29603446,73437184,1.255536988,OK,16.40372471,10.12929385,74592256,1.276204668
brltty-6.0/brltty-ktb.bc,OSS,0,OK,8.62891887,8.653746207,105832448,OK,10.22075229,7.872205549,106573824,1.099278487,OK,10.26630952,7.644117435,109625344,1.132079181,OK,10.43842904,7.864812439,113852416,1.100311835,OK,10.35291956,7.732393228,113790976,1.119154957
brltty-6.0/brltty-lscmds.bc,OSS,0,OK,3.471710787,3.497383987,53108736,OK,4.137368962,3.070849353,55107584,1.138897935,OK,4.262523452,3.028574711,56864768,1.154795348,OK,4.337588921,3.037228961,60575744,1.151504886,OK,4.29655838,3.008081614,61992960,1.162662599
brltty-6.0/brltty-lsinc.bc,OSS,0,OK,5.189499485,5.214430964,44572672,OK,6.440449075,4.631167752,46514176,1.125943011,OK,6.643825183,4.478421348,49516544,1.164345772,OK,6.645443308,4.575939672,53096448,1.139532279,OK,6.645376077,4.507622495,54509568,1.156802942
brltty-6.0/brltty-morse.bc,OSS,0,OK,16.24030901,16.27005125,59260928,OK,18.80876764,12.76885093,62582784,1.274198543,OK,19.85895268,12.17536626,66662400,1.336308978,OK,20.42863626,12.45121049,71540736,1.306704377,OK,19.89319555,12.20464447,73052160,1.333103253
brltty-6.0/brltty-trtxt.bc,OSS,0,OK,9.074588413,9.106875955,48525312,OK,10.94448614,7.901377062,50675712,1.152568202,OK,11.65250713,7.571788707,53731328,1.202737729,OK,12.73087668,7.723043756,58306560,1.17918223,OK,11.94133831,7.545417197,59858944,1.206941342
brltty-6.0/brltty-ttb.bc,OSS,0,OK,13.61688615,13.64163163,56418304,OK,15.6218602,9.142477418,59650048,1.492115431,OK,17.25578677,7.056228741,66347008,1.933275143,OK,17.37463762,6.301242944,72028160,2.164911233,OK,18.29818054,6.057897509,75685888,2.251875607
brltty-6.0/brltty-tune.bc,OSS,0,OK,66.0111006,66.03983072,66707456,OK,74.03772067,39.75112477,71168000,1.66133238,OK,78.34145828,37.0959551,75505664,1.78024344,OK,81.92130579,38.1947679,79777792,1.729028198,OK,80.584198,37.66478674,81068032,1.753357351
brltty-6.0/brltty.bc,OSS,0,OK,161.7760466,161.973387,196071424,OK,222.4475409,121.8485844,196530176,1.329300523,OK,248.6017862,111.7351144,200773632,1.449619378,OK,254.6693276,112.3096941,209534976,1.442203083,OK,261.4206326,112.9183638,208076800,1.4344291
